symbol;Industry;Sector;Country;Year;GDP;LnGDPperCapita;EPU;TotalAssets;TotalCapitalization;TotalDebt;TotalEquityGrossMinorityInterest;TotalLiabilitiesNetMinorityInterest;TotalNonCurrentAssets;TotalNonCurrentLiabilitiesNetMinorityInterest;CashAndCashEquivalents;NetIncome;FreeCashFlow;EBIT;BasicEPS;DilutedEPS;DividendsPayable;TotalRevenue
TTE;Oil & Gas Integrated;Energy;France;2022;44968.74835;10.71372305;340.5026986;175956419.5;116584264.1;45609496.22;88661135.72;87295283.74;2049272000;782523000;3881039.028;6569069.937;-2401858.938;12775500.47;0.01508225;0.014749554;0;158034523.5
TTE;Oil & Gas Integrated;Energy;France;2019;40494.89829;10.60893128;255.8974304;214404540;141982277.4;580899;141982277.4;72422262.6;3403900000;913200000;14760115.5;4145506.5;-3121011.9;9690451.5;0.006231462;0.006073035;0;145863738.9
ALIZF;Insurance—Diversified;Financial Services;Germany;2019;46793.68676;10.75350357;204.5519596;1.53147E+11;48548899130;32157874525;35593874420;1.17553E+11;3.46655E+11;1.34677E+11;22932972930;3433247215;282747390;5317292970;0.13775;0.13775;24241245;1.23378E+11
ALIZF;Insurance—Diversified;Financial Services;Germany;2020;46772.82535;10.75305766;339.7142531;1.74018E+11;60467989900;34987632900;45413166975;1.28605E+11;4.58335E+11;1.81784E+11;25341401325;3652229985;-1783049920;5778333665;0.139635;0.139635;29974835;1.41339E+11
ALIZF;Insurance—Diversified;Financial Services;Germany;2021;51203.55447;10.84356423;305.4227288;1.9745E+11;68209880505;42859294590;51959674535;1.45491E+11;5.60938E+11;2.15523E+11;25942348750;4004553450;-6221112915;6521545375;0.150365;0.150365;38674835;1.55624E+11
ALIZY;Insurance—Diversified;Financial Services;Germany;2022;52739.66111;10.87312303;669.0102454;2.33909E+11;84242259210;56602526105;61343540790;1.72566E+11;7.146E+11;3.16734E+11;34594695080;4534992740;-2719642475;7533270260;0.17371;0.17371;38089325;1.67382E+11
BMWYY;Auto Manufacturers;Consumer Cyclical;Germany;2020;46772.82535;10.75305766;339.7142531;1.72113E+11;78341250000;54960000000;78693750000;93418750000;1.24078E+11;59257000000;3923750000;8000000000;11288750000;13083750000;03.май;3.48625;0;32220000000
BMWYY;Auto Manufacturers;Consumer Cyclical;Germany;2021;51203.55447;10.84356423;305.4227288;1.71706E+11;83876250000;49572500000;84251250000;87455000000;1.24558E+11;54820000000;3511250000;8501250000;11215000000;13355000000;3.71125;3.695;0;32105000000
BMWYY;Auto Manufacturers;Consumer Cyclical;Germany;2020;46772.82535;10.75305766;339.7142531;233982500;65977500;2002500;65977500;168005000;56962000;4191000;59196250;19855000;44157500;27160000;0.126395;0.126395;0;466378750
DTEGF;Telecom Services;Communication Services;Germany;2021;51203.55447;10.84356423;305.4227288;987699739;494928996.5;4485351;494928996.5;492770742.5;14374000000;237600000;87864429;63586518.5;58356056;89923579.5;0.30012455;0.30012455;318110;839812847
